epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3346,3.31798,6.13441,5.46785,0.00357,0.51333,0.12569,0.02293,2.81666,5.55092,4.51447,4.444e-05,4.444e-05,4.444e-05
2,29.2455,3.11686,6.14547,4.9966,0.00638,0.86,0.12707,0.02356,2.58055,5.55375,4.05319,9.0091e-05,9.0091e-05,9.0091e-05
3,30.8905,2.73574,5.56329,3.85841,0.00652,0.93333,0.12545,0.02515,2.74269,5.6123,3.84795,0.000124743,0.000124743,0.000124743
4,32.5441,2.36653,5.14838,3.19508,0.00655,1,0.14313,0.04012,2.56712,5.22832,3.55791,0.000148396,0.000148396,0.000148396
5,34.0141,2.27971,4.8703,3.08887,0.00593,1,0.14682,0.04156,2.32339,5.05128,3.15975,0.000161051,0.000161051,0.000161051
6,35.4672,2.20131,4.74597,2.8929,0.00527,1,0.18125,0.06181,2.20983,4.79487,2.95244,0.000162706,0.000162706,0.000162706
7,37.0239,1.78424,4.59105,2.54869,0.00422,0.96,0.19048,0.06523,2.19496,4.80323,2.82849,0.000153362,0.000153362,0.000153362
8,38.4929,1.71517,4.46467,2.44871,0.00433,1,0.14291,0.04644,2.21815,4.76572,2.87487,0.00013302,0.00013302,0.00013302
9,39.9533,1.69252,4.39092,2.38776,0.00426,1,0.14687,0.04975,2.16127,4.67387,2.81513,0.000101679,0.000101679,0.000101679
10,41.7888,1.61558,4.37042,2.29607,0.00425,1,0.14709,0.05056,2.09815,4.67359,2.70495,5.93385e-05,5.93385e-05,5.93385e-05
